eqa-mule-genix.k12.com, root,  14 3 * * * /data/metadata/metadata_collect.sh & 
eqa-mule-genix.k12.com, bin,  
eqa-mule-genix.k12.com, daemon,  
eqa-mule-genix.k12.com, adm,  
eqa-mule-genix.k12.com, lp,  
eqa-mule-genix.k12.com, sync,  
eqa-mule-genix.k12.com, shutdown,  
eqa-mule-genix.k12.com, halt,  
eqa-mule-genix.k12.com, mail,  
eqa-mule-genix.k12.com, uucp,  
eqa-mule-genix.k12.com, operator,  
eqa-mule-genix.k12.com, gopher,  
eqa-mule-genix.k12.com, ftp,  
eqa-mule-genix.k12.com, nobody,  
eqa-mule-genix.k12.com, dbus,  
eqa-mule-genix.k12.com, rpc,  
eqa-mule-genix.k12.com, nscd,  
eqa-mule-genix.k12.com, vcsa,  
eqa-mule-genix.k12.com, #apache,  
eqa-mule-genix.k12.com, saslauth,  
eqa-mule-genix.k12.com, postfix,  
eqa-mule-genix.k12.com, ntp,  
eqa-mule-genix.k12.com, rpcuser,  
eqa-mule-genix.k12.com, nfsnobody,  
eqa-mule-genix.k12.com, abrt,  
eqa-mule-genix.k12.com, avahi,  
eqa-mule-genix.k12.com, haldaemon,  
eqa-mule-genix.k12.com, webalizer,  
eqa-mule-genix.k12.com, tcpdump,  
eqa-mule-genix.k12.com, sshd,  
eqa-mule-genix.k12.com, ldap,  
eqa-mule-genix.k12.com, nslcd,  
eqa-mule-genix.k12.com, dovecot,  
eqa-mule-genix.k12.com, dovenull,  
eqa-mule-genix.k12.com, mysql,  
eqa-mule-genix.k12.com, oprofile,  
eqa-mule-genix.k12.com, apache,  0 */2 * * * cd /data/servers/app-nextgen-reporter/ && /data/servers/app-nextgen-reporter/run_2h.sh >& /data/servers/app-nextgen-reporter/nextgen_reporter_cron_2h.log &  00 00 * * * cd /data/servers/app-nextgen-reporter/ && /data/servers/app-nextgen-reporter/run_24h.sh >& /data/servers/app-nextgen-reporter/nextgen_reporter_cron_24h.log & 
eqa-mule-genix.k12.com, oracle,  
eqa-mule-genix.k12.com, nagios,  
eqa-mule-genix.k12.com, newrelic,  
eqa-exadata-jump1, root,  
